ano,bloco,ndvi,area_tl,cdambiente,talhao,corte,tch
2021,604P0311,0.18566575972182162,20.63,A,5,4,70.75
2021,111P1186,0.33838645070613216,8.40,B,10,5,26.47
2021,116P1611,0.11271091295328514,7.94,B,6,18,95.64
2021,116P1626,0.21562393351594147,21.62,D,2,18,110.97
2021,134P1520,0.2223015538629997,24.94,C,2,3,59.20
2021,134P3434,0.19187431370061267,6.63,C,2,2,74.94
2021,141P4142,0.19758672947868888,1.65,B,6,5,55.72
2021,143P4234,0.1452124295187624,9.55,C,2,3,69.71
2021,143P4304,0.16758830576747585,16.96,C,10,2,72.37
2021,517P0042,0.15392342378277205,19.50,D,4,3,83.01
2021,518P0013,0.24796447555769469,17.84,A,1,3,105.49
2021,522P0032,0.2570817434342108,16.11,C,6,18,100.80
2021,522P0050,0.22693844041978886,14.85,C,6,18,121.14
2021,301P0008,0.11920669904512293,22.84,C,4,2,102.71
2021,309P0025,0.23214221038031033,7.00,D,4,4,69.71
2021,303P0036,0.2050053628543431,11.93,B,5,6,56.67
2021,309P0054,0.26340061266739817,4.53,D,7,18,116.25
2021,411P0021,0.11322699703892872,4.50,D,3,4,28.63
2021,111F0048,0.17068000722312768,22.09,B,9,18,1.63
2021,112F0054,0.2641434127375188,14.10,B,1,18,129.9
